"1.6.1","1.6.1","1.2.90742","init0"
"1.6.60","1.6.60","1.2.99632","andrew-bernbeck","andrew bernbeck"
"1.6.61","1.6.61","1.2.102867","salvation-2016","salvation 2016"
"1.6.62","1.6.62","1.2.102928","duplessisc1"
"1.6.63","1.6.63","1.2.31359","delegate.freedom","delegate freedom"
"1.6.64","1.6.64","1.2.2850","xman"
"1.6.65","1.6.65","1.2.4952","abc123"
"1.6.66","1.6.66","1.2.99609","plkj"
"1.6.67","1.6.67","1.2.110851","chronos-youtube","chronos youtube"
"1.6.68","1.6.68","1.2.115062","nexus-dev","nexus dev"
"1.6.69","1.6.69","1.2.130258","witness.still","witness still"
"1.6.70","1.6.70","1.2.134261","public-witness-one","public witness one"
"1.6.71","1.6.71","1.2.130210","witness.yao","witness yao"
"1.6.72","1.6.72","1.2.964","jerryliu"
"1.6.73","1.6.73","1.2.157641","sahkan-bitshares","sahkan bitshares"
"1.6.74","1.6.74","1.2.133999","roelandp"
"1.6.75","1.6.75","1.2.152739","blckchnd"
"1.6.76","1.6.76","1.2.158783","openledger-dc","openledger dc"
"1.6.77","1.6.77","1.2.155674","b-tc","b tc"
"1.6.78","1.6.78","1.2.162786","bts-famy","bts famy"
"1.6.79","1.6.79","1.2.157488","by55"
"1.6.80","1.6.80","1.2.21561","haruka"
"1.6.81","1.6.81","1.2.155713","hwbts"
"1.6.82","1.6.82","1.2.166442","sc-ol","sc ol"
"1.6.83","1.6.83","1.2.377465","road-block","road block"
"1.6.84","1.6.84","1.2.369","crazybit"
"1.6.85","1.6.85","1.2.380866","ninjasoul-api","ninjasoul api"
"1.6.86","1.6.86","1.2.179660","jack-flack","jack flack"
"1.6.87","1.6.87","1.2.394742","ewok1"
"1.6.88","1.6.88","1.2.396298","bts-up","bts up"
"1.6.89","1.6.89","1.2.398049","lucky-star","lucky star"
"1.6.90","1.6.90","1.2.171843","olle-hillbom","olle hillbom"
"1.6.91","1.6.91","1.2.430293","ones"
"1.6.92","1.6.92","1.2.188508","billbutler-witness","billbutler witness"
"1.6.93","1.6.93","1.2.430426","jb-basics","jb basics"
"1.6.94","1.6.94","1.2.169092","sicxun1"
"1.6.95","1.6.95","1.2.439676","liuye"
"1.6.96","1.6.96","1.2.401166","etienne-marais","etienne marais"
"1.6.97","1.6.97","1.2.404643","trader1000"
"1.6.98","1.6.98","1.2.551261","delegate-zhaomu","delegate zhaomu"
"1.6.99","1.6.99","1.2.198077","aggroed-lighthacker","aggroed lighthacker"
"1.6.100","1.6.100","1.2.476486","neoreel-1","neoreel 1"
"1.6.101","1.6.101","1.2.632515","winex.witness","winex witness"
"1.6.102","1.6.102","1.2.532337","zeneet3"
"1.6.103","1.6.103","1.2.641935","shirako-jp","shirako jp"
"1.6.104","1.6.104","1.2.618870","obsimex1"
"1.6.105","1.6.105","1.2.661381","witness.hiblockchain","witness hiblockchain"
"1.6.106","1.6.106","1.2.695655","gng61"
"1.6.107","1.6.107","1.2.629244","c147"
"1.6.108","1.6.108","1.2.709204","ioex"
"1.6.109","1.6.109","1.2.497071","jnmssmn"
"1.6.110","1.6.110","1.2.768841","magicwallet.witness","magicwallet witness"
"1.6.111","1.6.111","1.2.429015","sf3xcrt9h6wa667kqmleontwacvqdsawcd"
"1.6.112","1.6.112","1.2.474074","pnomolos-1","pnomolos 1"
"1.6.113","1.6.113","1.2.420186","clone"
"1.6.114","1.6.114","1.2.675536","sshadow1"
"1.6.115","1.6.115","1.2.693197","nerma-lwazza","nerma lwazza"
"1.6.116","1.6.116","1.2.814541","bangzi"
"1.6.117","1.6.117","1.2.711128","clockwork"
"1.6.118","1.6.118","1.2.117600","bitshares-munich-faucet","bitshares munich faucet"
"1.6.119","1.6.119","1.2.1757","hibitcoin"
